elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,stop_reason
1310.75,1355386,3354.848388671875,3416.725341796875,3423.96923828125,3427.037353515625,3422.585205078125,3429.579833984375,3462.8701171875,3354.84375,3416.795166015625,3423.893310546875,3427.004150390625,3422.551513671875,3429.602783203125,3462.8134765625,23937.50390625,23937.51171875,-2104.90625,-2103.32568359375,39.79736328125,1,True,ON,0,
1310.80,1355436,3354.86962890625,3417.004150390625,3423.87255859375,3427.012939453125,3422.638671875,3429.618408203125,3462.791259765625,3354.852783203125,3416.939453125,3423.859375,3426.98974609375,3422.60986328125,3429.650390625,3462.755126953125,23937.66796875,23937.60546875,-2104.47705078125,-2103.200439453125,39.79736328125,1,True,ON,0,
1310.85,1355487,3354.87939453125,3416.95556640625,3423.85595703125,3427.06591796875,3422.6923828125,3429.791015625,3462.7392578125,3354.88037109375,3416.91796875,3423.8544921875,3427.01220703125,3422.619384765625,3429.66845703125,3462.693115234375,23937.69140625,23937.611328125,-2101.794921875,-2103.0439453125,39.79736328125,1,True,ON,0,
1310.90,1355538,3354.95361328125,3416.77734375,3423.746826171875,3427.01416015625,3422.650146484375,3429.68212890625,3462.67333984375,3354.897216796875,3416.857177734375,3423.79443359375,3427.02685546875,3422.6376953125,3429.72509765625,3462.67578125,23937.615234375,23937.642578125,-2102.93505859375,-2103.307861328125,39.79736328125,1,True,ON,0,
1310.95,1355589,3354.772705078125,3416.891845703125,3423.753173828125,3427.04638671875,3422.668701171875,3429.606689453125,3462.77392578125,3354.854248046875,3416.86572265625,3423.8154296875,3427.05322265625,3422.61376953125,3429.698486328125,3462.697021484375,23937.59375,23937.6171875,-2102.005126953125,-2102.7861328125,39.79736328125,1,True,ON,0,
1311.00,1355640,3354.85791015625,3416.8544921875,3424.056640625,3426.966796875,3422.677978515625,3429.7060546875,3462.74853515625,3354.893310546875,3416.870361328125,3423.904296875,3427.005126953125,3422.62744140625,3429.6923828125,3462.733154296875,23937.73046875,23937.677734375,-2104.12841796875,-2103.01318359375,39.79736328125,1,True,ON,0,
1311.05,1355690,3354.802490234375,3416.918212890625,3423.844482421875,3427.01416015625,3422.6005859375,3429.71044921875,3462.662841796875,3354.86328125,3416.856201171875,3423.89990234375,3427.019775390625,3422.574462890625,3429.718994140625,3462.732666015625,23937.6640625,23937.66015625,-2104.642578125,-2102.740478515625,39.79736328125,1,True,ON,0,
1311.10,1355742,3354.8408203125,3416.911865234375,3423.981689453125,3427.059326171875,3422.648193359375,3429.611083984375,3462.76953125,3354.877197265625,3416.839599609375,3423.927734375,3427.00439453125,3422.608154296875,3429.6806640625,3462.755615234375,23937.693359375,23937.67578125,-2105.728759765625,-2102.86962890625,39.79736328125,1,True,ON,0,
1311.15,1355793,3355.001708984375,3416.8134765625,3424.004638671875,3427.02734375,3422.60888671875,3429.901123046875,3462.66796875,3354.9208984375,3416.822998046875,3423.95947265625,3427.032958984375,3422.624267578125,3429.721435546875,3462.711669921875,23937.79296875,23937.763671875,-2101.674072265625,-2103.086669921875,39.79736328125,1,True,ON,0,
1311.20,1355844,3354.8173828125,3416.78662109375,3423.93310546875,3427.052734375,3422.560302734375,3429.690673828125,3462.619873046875,3354.8798828125,3416.82763671875,3423.9248046875,3427.072509765625,3422.6025390625,3429.732666015625,3462.692138671875,23937.6953125,23937.765625,-2102.394287109375,-2102.829345703125,39.79736328125,1,True,ON,0,
1311.26,1355896,3354.86865234375,3416.92236328125,3423.95458984375,3426.99560546875,3422.624267578125,3429.742431640625,3462.791259765625,3354.907958984375,3416.8828125,3423.903076171875,3427.0625,3422.6123046875,3429.72314453125,3462.73095703125,23937.841796875,23937.779296875,-2102.447509765625,-2102.848388671875,39.79736328125,1,True,ON,0,
1311.31,1355947,3354.94189453125,3416.9658203125,3423.845458984375,3426.98681640625,3422.73876953125,3429.5517578125,3462.8271484375,3354.921142578125,3416.880859375,3423.90625,3427.05224609375,3422.66064453125,3429.631591796875,3462.80322265625,23937.853515625,23937.865234375,-2104.664794921875,-2103.001953125,39.79736328125,1,True,ON,0,
1311.36,1355998,3354.8994140625,3416.84716796875,3424.033935546875,3427.088134765625,3422.6396484375,3429.589599609375,3462.7119140625,3354.9365234375,3416.824951171875,3423.964111328125,3427.099853515625,3422.6640625,3429.641357421875,3462.7978515625,23937.92578125,23937.89453125,-2101.34814453125,-2102.626708984375,39.79736328125,1,True,ON,0,
1311.41,1356049,3354.8046875,3416.826904296875,3423.947265625,3427.17919921875,3422.640625,3429.56689453125,3462.7841796875,3354.87890625,3416.87158203125,3423.983154296875,3427.11279296875,3422.65673828125,3429.582275390625,3462.855224609375,23937.9375,23937.951171875,-2101.048583984375,-2102.930908203125,39.79736328125,1,True,ON,0,
1311.46,1356100,3354.862060546875,3416.88671875,3423.953857421875,3426.987548828125,3422.59423828125,3429.654052734375,3462.833251953125,3354.9013671875,3416.8876953125,3423.987060546875,3427.06396484375,3422.689208984375,3429.6416015625,3462.863525390625,23938.029296875,23938.0234375,-2101.186767578125,-2102.412841796875,39.770782470703125,1,True,ON,0,
1311.51,1356151,3354.921630859375,3416.888671875,3423.9951171875,3427.136474609375,3422.7431640625,3430.090576171875,3462.487060546875,3354.902099609375,3416.892333984375,3423.937255859375,3427.11474609375,3422.691162109375,3429.830810546875,3462.613037109375,23938.00390625,23937.986328125,-2101.01708984375,-2102.625732421875,39.770782470703125,1,True,ON,0,
1311.56,1356202,3354.86083984375,3416.7880859375,3424.01513671875,3427.00537109375,3422.637939453125,3430.02294921875,3462.423095703125,3354.890380859375,3416.861083984375,3423.994384765625,3427.05126953125,3422.69921875,3430.070556640625,3462.436767578125,23938.00390625,23938.015625,-2101.4287109375,-2102.9541015625,39.770782470703125,1,True,ON,0,
1311.61,1356253,3354.91552734375,3416.89794921875,3423.80615234375,3427.052734375,3422.61181640625,3430.317138671875,3462.282958984375,3354.92529296875,3416.8642578125,3423.905029296875,3427.114501953125,3422.652587890625,3430.23681640625,3462.268310546875,23938.013671875,23937.990234375,-2101.87548828125,-2102.95166015625,39.770782470703125,1,True,ON,0,
1311.67,1356304,3354.896484375,3416.84326171875,3423.990234375,3427.033935546875,3422.66357421875,3430.02392578125,3462.444091796875,3354.9375,3416.865478515625,3423.97021484375,3427.06005859375,3422.685302734375,3430.1513671875,3462.425048828125,23938.169921875,23938.08984375,-2102.778564453125,-2103.110595703125,39.770782470703125,1,True,ON,0,
1311.72,1356356,3354.900634765625,3416.986083984375,3423.92236328125,3427.10888671875,3422.727783203125,3430.1337890625,3462.4033203125,3354.92138671875,3416.916259765625,3423.976318359375,3427.046630859375,3422.672119140625,3430.176025390625,3462.395751953125,23938.126953125,23938.11328125,-2104.08837890625,-2102.897216796875,39.770782470703125,1,True,ON,0,
1311.77,1356407,3354.95361328125,3416.873779296875,3424.0400390625,3427.111083984375,3422.721435546875,3430.1123046875,3462.355224609375,3354.940673828125,3416.89111328125,3424.011474609375,3427.04541015625,3422.70849609375,3430.160888671875,3462.395263671875,23938.1640625,23938.166015625,-2105.344482421875,-2103.274658203125,39.770782470703125,1,True,ON,0,
1311.82,1356457,3354.8984375,3416.98291015625,3424.0234375,3427.090087890625,3422.68310546875,3429.782470703125,3462.63037109375,3354.9189453125,3416.885498046875,3424.021728515625,3427.041015625,3422.715087890625,3429.87109375,3462.6640625,23938.095703125,23938.130859375,-2101.30322265625,-2103.150390625,39.770782470703125,1,True,ON,0,
1311.87,1356508,3355.021728515625,3416.850341796875,3424.044921875,3427.12451171875,3422.750244140625,3429.85791015625,3462.77685546875,3354.938232421875,3416.900634765625,3423.995849609375,3427.071533203125,3422.6943359375,3429.81201171875,3462.729736328125,23938.1015625,23938.10546875,-2099.67626953125,-2102.681640625,39.770782470703125,1,True,ON,0,
1311.92,1356559,3354.973876953125,3416.9150390625,3423.998291015625,3427.12646484375,3422.68115234375,3429.73095703125,3462.819580078125,3354.94384765625,3416.89892578125,3424.024658203125,3427.077392578125,3422.6630859375,3429.754638671875,3462.759033203125,23938.12109375,23938.09765625,-2102.756103515625,-2102.841552734375,39.79736328125,1,True,ON,0,
1311.97,1356610,3354.871826171875,3416.973388671875,3423.965087890625,3427.112060546875,3422.695556640625,3429.657470703125,3462.7392578125,3354.94580078125,3416.9208984375,3423.95703125,3427.1201171875,3422.668212890625,3429.72314453125,3462.802001953125,23938.138671875,23938.099609375,-2104.8037109375,-2102.843505859375,39.79736328125,1,True,ON,0,
1312.02,1356661,3355.03466796875,3416.88232421875,3424.119873046875,3427.05810546875,3422.675048828125,3429.836181640625,3462.811279296875,3354.983154296875,3416.92138671875,3424.009033203125,3427.05224609375,3422.655517578125,3429.745361328125,3462.79345703125,23938.185546875,23938.119140625,-2103.2568359375,-2102.77490234375,39.79736328125,1,True,ON,0,
1312.07,1356713,3355.0400390625,3416.8525390625,3423.9267578125,3427.082763671875,3422.588134765625,3429.70703125,3462.787353515625,3355.00537109375,3416.923828125,3424.01806640625,3427.061767578125,3422.689697265625,3429.732177734375,3462.8017578125,23938.248046875,23938.228515625,-2101.459716796875,-2102.785400390625,39.79736328125,1,True,ON,0,
1312.12,1356764,3354.982421875,3416.974365234375,3423.972412109375,3427.04833984375,3422.648193359375,3429.8515625,3462.708740234375,3354.976318359375,3416.940185546875,3424.013427734375,3427.051513671875,3422.696044921875,3429.810302734375,3462.70556640625,23938.205078125,23938.20703125,-2100.766845703125,-2102.6767578125,39.79736328125,1,True,ON,0,
1312.18,1356814,3355.0419921875,3416.997802734375,3424.067138671875,3427.094482421875,3422.8505859375,3429.761962890625,3462.857421875,3354.9814453125,3416.93408203125,3424.041748046875,3427.01123046875,3422.748046875,3429.74658203125,3462.780029296875,23938.2421875,23938.25,-2100.50732421875,-2102.508544921875,39.79736328125,1,True,ON,0,
1312.23,1356865,3355.027099609375,3417.00732421875,3424.190673828125,3427.003173828125,3422.6572265625,3429.72119140625,3462.873046875,3355.00537109375,3416.935791015625,3424.082275390625,3427.017333984375,3422.712158203125,3429.72705078125,3462.82080078125,23938.322265625,23938.27734375,-2105.76025390625,-2102.89501953125,39.79736328125,1,True,ON,0,
