elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,segment_type,target_pct,segment_coulomb_mah,stop_reason
1592.11,1702511,3417.637451171875,3479.503662109375,3484.673583984375,3485.2939453125,3482.010986328125,3485.849365234375,3516.909912109375,3417.628662109375,3479.423828125,3484.613037109375,3485.3095703125,3481.984375,3485.902587890625,3516.879638671875,24351.755859375,24351.744140625,-8.8314847946167,-8.716254234313965,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.16,1702562,3417.559814453125,3479.404052734375,3484.57177734375,3485.39501953125,3482.0224609375,3486.032958984375,3516.793701171875,3417.66357421875,3479.43212890625,3484.53076171875,3485.364013671875,3482.004638671875,3485.9609375,3516.900634765625,24351.8359375,24351.82421875,-8.165403366088867,-8.515216827392578,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.21,1702613,3417.582275390625,3479.29833984375,3484.55712890625,3485.320068359375,3481.9892578125,3485.813720703125,3517.102294921875,3417.637451171875,3479.38623046875,3484.515869140625,3485.368408203125,3481.985107421875,3485.788330078125,3517.0634765625,24351.7265625,24351.783203125,-8.10281753540039,-8.544419288635254,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.26,1702663,3417.634521484375,3479.3818359375,3484.485595703125,3485.332275390625,3482.06689453125,3485.86767578125,3516.953857421875,3417.633056640625,3479.39111328125,3484.4833984375,3485.392822265625,3482.009765625,3485.84814453125,3516.994873046875,24351.751953125,24351.76953125,-8.129640579223633,-8.492684364318848,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.31,1702714,3417.56201171875,3479.29931640625,3484.509521484375,3485.33984375,3482.064697265625,3485.784912109375,3516.8984375,3417.607421875,3479.397216796875,3484.473876953125,3485.37890625,3482.03466796875,3485.8173828125,3516.91259765625,24351.6328125,24351.669921875,-8.482797622680664,-8.567733764648438,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.37,1702768,3417.687744140625,3479.354248046875,3484.546875,3485.466552734375,3482.052490234375,3485.9326171875,3516.80126953125,3417.653564453125,3479.40966796875,3484.5302734375,3485.3740234375,3481.988525390625,3485.903564453125,3516.87744140625,24351.73828125,24351.6796875,-8.420212745666504,-8.484918594360352,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.42,1702819,3417.6279296875,3479.353271484375,3484.60400390625,3485.219970703125,3481.8798828125,3485.668212890625,3517.03662109375,3417.604248046875,3479.400146484375,3484.601318359375,3485.317138671875,3481.936279296875,3485.835693359375,3516.966064453125,24351.673828125,24351.69140625,-9.242756843566895,-8.862112045288086,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.47,1702869,3417.622802734375,3479.410400390625,3484.55712890625,3485.36962890625,3481.982177734375,3485.669189453125,3517.0908203125,3417.62353515625,3479.4267578125,3484.5703125,3485.318603515625,3481.9638671875,3485.750244140625,3517.012939453125,24351.685546875,24351.669921875,-8.473856925964355,-8.512002944946289,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.52,1702921,3417.5458984375,3479.446533203125,3484.482421875,3485.3984375,3482.021484375,3485.8828125,3516.895263671875,3417.59130859375,3479.413330078125,3484.544189453125,3485.348876953125,3481.96484375,3485.8671875,3516.880615234375,24351.611328125,24351.626953125,-8.366568565368652,-8.628266334533691,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.57,1702971,3417.7001953125,3479.377685546875,3484.5458984375,3485.365234375,3481.92431640625,3485.817138671875,3516.940185546875,3417.6455078125,3479.412353515625,3484.562744140625,3485.3359375,3481.932373046875,3485.912109375,3516.903076171875,24351.72265625,24351.66796875,-8.111759185791016,-8.515179634094238,30.142730712890625,0,False,OFF,0,REST,8,0.000,
